Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-03-18,12.660428089883114,12.789710677356851,12.512677064579172,12.623490333557129,6668400,0.0,0.0
2024-03-19,12.623490285108737,12.725068894448949,12.309518917210083,12.411097526550293,8185385,0.0,0.0
2024-03-20,12.411096876207555,12.605020306179496,12.281815176669948,12.401863098144531,4543455,0.0,0.0
2024-03-21,12.429566802477163,12.58655248588974,12.392629046419238,12.44803524017334,4743300,0.0,0.0
2024-03-22,12.558849198571997,12.558849198571997,12.28181559200567,12.420331954956055,2974422,0.0,0.0
2024-03-25,12.37415963302873,12.780475827211133,12.355691195474385,12.595787048339844,4483826,0.0,0.0
2024-03-26,12.651193490144351,12.937461763516477,12.605021074353289,12.762006759643555,5765300,0.0,0.0
2024-03-27,12.808179029035818,12.965164712531722,12.678896442431672,12.697365760803223,4670106,0.0,0.0
2024-03-28,12.715834806534257,12.826648072390903,12.512676712130963,12.743537902832031,3641300,0.0,0.0
2024-03-29,12.743538279035404,13.020571892188133,12.52191174077945,12.798944473266602,3081056,0.0,0.0
2024-04-01,12.789710591329838,12.817413688221595,12.309518881656352,12.697365760803223,6286800,0.0,0.0
2024-04-02,12.651193033044324,12.863585785743023,12.58655218167172,12.780475616455078,4896327,0.0,0.0
2024-04-03,12.854351043701172,12.946695871349919,12.651192951273257,12.854351043701172,3328003,0.0,0.0
2024-04-08,12.752772396960447,13.103680627304074,12.743537738092051,12.891288757324219,4980951,0.0,0.0
2024-04-09,12.845116573449591,12.937461402454536,12.651193137071655,12.882054328918457,5296220,0.0,0.0
2024-04-10,12.882054163433217,13.177557084053618,12.84511640843886,13.029805183410645,5524500,0.0,0.0
2024-04-11,13.048274679509179,13.297604308961102,12.891288998472001,13.13138484954834,5030981,0.0,0.0
2024-04-12,13.140618586136062,13.288370488327796,13.029805319991427,13.168322563171387,4301981,0.0,0.0
2024-04-15,13.205260350726775,13.62081031994801,13.085212425277874,13.593107223510742,9023008,0.0,0.0
2024-04-16,13.556169262162552,14.15640799962571,13.463824434553354,13.777795791625977,9707083,0.0,0.0
2024-04-17,13.768561870695613,14.24875359093576,13.556169988742495,14.21181583404541,9114100,0.0,0.0
2024-04-18,14.184111551874846,14.20258087025697,13.408418673802666,13.58387279510498,8826400,0.0,0.0
2024-04-19,13.519231960184653,13.907078840072389,13.436121788685057,13.759326934814453,5771661,0.0,0.0
2024-04-22,13.851671703791213,14.054829802033177,13.500762581615302,13.620810508728027,6406200,0.0,0.0
2024-04-23,13.58387225227336,13.842436534631474,13.316073311093215,13.676217079162598,5078000,0.0,0.0
2024-04-24,13.58387275274454,13.805499288645462,13.482294143956342,13.620810508728027,3578200,0.0,0.0
2024-04-25,13.59310800133646,13.787031448825145,13.537700924625861,13.740859031677246,3391900,0.0,0.0
2024-04-26,13.703920740976356,13.87014108397617,12.909757662791083,13.122150421142578,10481072,0.0,0.0
2024-04-29,13.085212078319806,13.112915174022518,12.263345940038064,12.327987670898438,21381369,0.0,0.0
2024-04-30,12.309518570633061,12.318753229585505,11.96784411538255,12.069422721862793,13257769,0.0,0.0
2024-05-06,12.106360477007023,12.143298232151253,11.792389998613846,12.069422721862793,17844867,0.0,0.0
2024-05-07,12.097127045917045,12.152533239890815,12.004782215073327,12.0232515335083,9450875,0.0,0.0
2024-05-08,12.050955186868373,12.47573984316306,11.940141913139188,12.355691909790039,14300532,0.0,0.0
2024-05-09,12.355691332606751,12.438801504187639,12.161767892473204,12.411097526550293,8618491,0.0,0.0
2024-05-10,12.374159582260939,12.56808301944657,12.300284071015515,12.383394241333008,9357700,0.0,0.0
2024-05-13,12.392629447560024,12.909758049110074,12.346457030826656,12.789710998535156,12497637,0.0,0.0
2024-05-14,12.734303161059545,12.965164350259801,12.568082823022385,12.817413330078125,7119700,0.0,0.0
2024-05-15,12.81741362600442,12.909757575417215,12.549614675575846,12.558849334716797,5453800,0.0,0.0
2024-05-16,12.697365258039829,12.697365258039829,12.207939789225371,12.29104995727539,9133162,0.0,0.0
2024-05-17,12.235643177467022,12.438801273037736,12.05095439997799,12.420331954956055,7315394,0.0,0.0
2024-05-20,12.420331708112144,12.697365309172655,12.281815347914659,12.641958236694336,6619200,0.0,0.0
2024-05-21,12.614255318999835,12.771240999129803,12.438801201559865,12.743537902832031,6392905,0.0,0.0
2024-05-22,12.734303732912982,12.900524078414522,12.457270117298945,12.512677192687988,5018062,0.0,0.0
2024-05-23,12.466505273424517,12.512677691311065,12.254113384078265,12.281816482543945,4538863,0.0,0.0
2024-05-24,12.318754107857632,12.503442896746266,12.281816350079906,12.392629623413086,4579800,0.0,0.0
2024-05-27,12.41109767438206,12.725069046020508,12.392629236402755,12.725069046020508,5476936,0.0,0.0
2024-05-28,12.734303689197853,12.762006786464479,12.475739393156308,12.549614906311035,4603511,0.0,0.0
2024-05-29,12.60502091164618,12.614255570818308,12.438801449875747,12.52191162109375,3549200,0.0,0.0
2024-05-30,12.549615036321983,12.660428307202073,12.401864008481866,12.438801765441895,3748601,0.0,0.0
2024-05-31,12.466504877143569,12.660428321570203,12.438801779558505,12.614255905151367,3670202,0.0,0.0
2024-06-03,12.614255074315057,12.715834559879095,12.420331642661164,12.50344181060791,4356100,0.0,0.0
2024-06-04,12.595787128391905,12.96516468848205,12.494207638867938,12.909757614135742,5029600,0.0,0.0
2024-06-05,12.909757595043212,13.1313850114351,12.72506881527128,12.73430347442627,4713420,0.0,0.0
2024-06-06,12.826647881825036,12.826647881825036,12.623489790440068,12.715834617614746,3824920,0.0,0.0
